#module	recipe	olean_sha256	olean_size	ilean_sha256	ilean_size	v2_olean_sha256	vs_v2	reason_class	cb_detail	ilean_vs_v2	backend	lean_wall_s	maxrss_kb
CKLaneA.Cell	plain	5efb1561ab8fc4c14f4fdf41fe4afbc31b2d84c2e32c6f8426115cc170aa7868	1313000	181dd70b70c347e69e0e8e3ee5bb20b1eaeaaeb51310125a037291115c9d67ae	43125	5efb1561ab8fc4c14f4fdf41fe4afbc31b2d84c2e32c6f8426115cc170aa7868	IDENTICAL	-		IDENTICAL	workstation	12.0	2923032
CKLaneA.LogKap	plain	219c073d52c1658e6f0a514483e9ceb9cf8efcd5ead81abe24c1c161094c2c7c	971872	76be12b48be49d47e70f69574ef5d68784e743677177f10c63e6109b40a72737	46272	219c073d52c1658e6f0a514483e9ceb9cf8efcd5ead81abe24c1c161094c2c7c	IDENTICAL	-		IDENTICAL	workstation	9.0	2886612
CKLaneA.Machine	plain	786192218c358338103da9311cd9675b7e3c8311f050802fdfc02a7d971a7720	762656	d4237a0f4cbcd504234f96b0cec242c5e53ed35cea8cdba72d23744c8e994400	29805	786192218c358338103da9311cd9675b7e3c8311f050802fdfc02a7d971a7720	IDENTICAL	-		IDENTICAL	workstation	8.0	2858892
CKLaneA.Prog	plain	2df799762945fbb9321b65c78595b6a6b1216a66858b6b51e841c21ae284f716	597776	1fe7096f90fb417121bf364e06685ddfcc16d3f31633490d8ebd1628e0e21bd1	64431	2df799762945fbb9321b65c78595b6a6b1216a66858b6b51e841c21ae284f716	IDENTICAL	-		IDENTICAL	workstation	15.0	2870560
CKLaneA.Psi	plain	cd352a9a8a9183c0d450d5575a8f8b51dfdbb9a2776239e39df88482da3c45be	1061976	70eca2acfd5a4be5b1f8991c20ede83d87dc188d7425f6e9c11af2c4f9d1a879	30485	cd352a9a8a9183c0d450d5575a8f8b51dfdbb9a2776239e39df88482da3c45be	IDENTICAL	-		IDENTICAL	cluster	24.547	1582576
CKLaneA.PsiEnc	plain	298f8025ce77af2b0c69c38df55bcb39c459a0bb14681f27c1c855ff6c776d77	1028584	daaf898374bc416df91f675c17195318faaf39e5c8256b4107ce865124a57470	38971	298f8025ce77af2b0c69c38df55bcb39c459a0bb14681f27c1c855ff6c776d77	IDENTICAL	-		IDENTICAL	workstation	10.0	2885004
CKLaneA.Semantics	plain	fef6692a53d255425440f5fb7309ee716a0a88fe0d4af3f2b168ac379a0a5f69	6677568	b6042d4bc903eae61ff4ff0ecc7e474ce5066f8d5a21ef436d3fb43341035090	38406	fef6692a53d255425440f5fb7309ee716a0a88fe0d4af3f2b168ac379a0a5f69	IDENTICAL	-		IDENTICAL	cluster	12.032	1808524
CKLaneA1.Analysis	plain	ca6a5ae0eeb1c965619d94b28a20612c9f1adc7a61238dbbc6ef9cd8a45dee6b	1177456	ba2cbc21dec5176baa526d1e34cf73dc02fb02de8e1420ff16a16d62934a1b1b	23773	ca6a5ae0eeb1c965619d94b28a20612c9f1adc7a61238dbbc6ef9cd8a45dee6b	IDENTICAL	-		IDENTICAL	workstation	12.0	2906012
CKLaneA1.BSAnalysis	plain	407de0f11c2fc531f39441d1acab6017e26eb25470d6be3b7eb8b3a8fef600e3	766184	46282ebbae0691039c544affade542203e7505cdab7f77c4079581142aa1d01b	16655	407de0f11c2fc531f39441d1acab6017e26eb25470d6be3b7eb8b3a8fef600e3	IDENTICAL	-		IDENTICAL	workstation	9.0	2892376
CKLaneA1.BSCell	plain	bdb65ec0b5f718c83761560c52bd6e96734aaf4de33c8fc93e06022fa1db4935	521304	7cf51d762b061d7c8c5840d541bfc107e71c62bc9c15631dfa1c92a5dd9f343a	32743	bdb65ec0b5f718c83761560c52bd6e96734aaf4de33c8fc93e06022fa1db4935	IDENTICAL	-		IDENTICAL	workstation	6.0	2867012
