#family	modules	lines	bytes	sample_module	check_heads(auto)	mechanisms(textual counts)	top_external_imports
GeneralCK.Certificates.LaneRB2WaveV2.*	11785	23824612	2309850487	GeneralCK.Certificates.LaneRB2WaveV2.Coverage	DyadicFastLog.check:501114	decide:8844186;norm_num:235680;rfl:58920	GeneralCK.Certificates.DyadicFastLog:11784;GeneralCK.Certificates.BivariateProvedProgram:11784;GeneralCK.CorrectionHessianNatural:11784;GeneralCK.Certificates.CorrectionFactorizedProgramKernel:11784;GeneralCK.CorrectionInteriorRatioBridge:11784
GeneralCK.Certificates.E#*	11239	3283317	217757255	GeneralCK.Certificates.E8AdaptiveOriginOwnerBridge	expBoxCheck:18366;logBoxCheck:1578;data.replay.positiveCheck:786;evalTheta:8	decide:283696;decide +kernel:37773;norm_num:18420;rfl:2228	GeneralCK.Certificates.DyadicLogSeries:3;GeneralCK.PureGapE8AnalyticRealBridge:3;GeneralCK.Certificates.Generated.E8AdaptiveFamily.FullCertificate:2;Mathlib.Analysis.Calculus.LocalExtr.Rolle:2;Mathlib.Analysis.SpecialFunctions.Complex.LogBounds:2
GeneralCK.Certificates.RB1Band1.*	5892	11908163	1161363611	GeneralCK.Certificates.RB1Band1.Cell000000	DyadicFastLog.check:252732	decide:4423560;norm_num:117820;rfl:29455	GeneralCK.Certificates.DyadicFastLog:5891;GeneralCK.Certificates.BivariateProvedProgram:5891;GeneralCK.CorrectionHessianNatural:5891;GeneralCK.Certificates.CorrectionFactorizedProgramKernel:5891;GeneralCK.CorrectionInteriorRatioBridge:5891
CKLaneC.RSC2.*	2428	234265	202231555	CKLaneC.RSC2.BA_0000	stageB:15584;stageC0:15584;stageC1:15584;stageC2:15584	decide +kernel:140420;norm_num:101	CKLaneC.RSCell.RegionI:2426;CKLaneC.RSCell.Staged:2408;CKLaneC.RST2.U_Top:1;GeneralCK.SmallMeanPhiRetainedCutoff:1
GeneralCK.Certificates.Generated.LowRatioFamily.*	1455	1565906	90371545	GeneralCK.Certificates.Generated.LowRatioFamily.Cell0000		norm_num:353740	GeneralCK.Certificates.LowRatioFamilyHelpers:248
GeneralCK.Certificates.Generated.DoubleCapMiddle.*	960	566162	31660586	GeneralCK.Certificates.Generated.DoubleCapMiddle.Cell0000		norm_num:128577	GeneralCK.PureGapDoubleCapBiasChecker:480
GeneralCK.Certificates.Generated.MidpointFamily.*	914	1506264	126118921	GeneralCK.Certificates.Generated.MidpointFamily.Cell0000	DyadicFastLog.check:25770	decide:447539;norm_num:80746;rfl:5154	GeneralCK.Certificates.DyadicFastLog:859;GeneralCK.Certificates.BivariateProvedProgram:859;GeneralCK.Certificates.ReflectionMidpointKernel:859;GeneralCK.Certificates.LowRatioFamilyHelpers:859;GeneralCK.ReflectionSmallRatioMidpointJet:859
GeneralCK.Certificates.Generated.MidpointNextFamily.*	914	1506264	126223162	GeneralCK.Certificates.Generated.MidpointNextFamily.Cell0000	DyadicFastLog.check:25770	decide:447539;norm_num:80746;rfl:5154	GeneralCK.Certificates.DyadicFastLog:859;GeneralCK.Certificates.BivariateProvedProgram:859;GeneralCK.Certificates.ReflectionMidpointKernel:859;GeneralCK.Certificates.LowRatioFamilyHelpers:859;GeneralCK.ReflectionSmallRatioMidpointJet:859
GeneralCK.Certificates.Generated.MidpointExtensionFamily.*	898	1472981	123891585	GeneralCK.Certificates.Generated.MidpointExtensionFamily.BandCertificate000	DyadicFastLog.check:25200	decide:437640;norm_num:78960;rfl:5040	GeneralCK.Certificates.DyadicFastLog:840;GeneralCK.Certificates.BivariateProvedProgram:840;GeneralCK.Certificates.ReflectionMidpointKernel:840;GeneralCK.Certificates.LowRatioFamilyHelpers:840;GeneralCK.ReflectionSmallRatioMidpointJet:840
GeneralCK.Certificates.Generated.E8TAxisPositiveAggregation.*	688	14514	1066056	GeneralCK.Certificates.Generated.E8TAxisPositiveAggregation.Root0000		norm_num:721	GeneralCK.Certificates.E8TAxisPositiveAggregationKernel:688;GeneralCK.Certificates.E8TAxisProd0000LCertified:1;GeneralCK.Certificates.E8TAxisProd0000RCertified:1;GeneralCK.Certificates.E8TAxisProd0001Certified:1;GeneralCK.Certificates.E8TAxisProd0002Certified:1
